czb_id,sampleid,sample_type,Ast,roost_site,latitude_s,longitude_e,collection_date,species,bat_sex,unique_tag_id,recap,bat_age_class,young_of_year
RR034B_303_uaRa,AMB106,urine,0,Ambakoana,-18.513,48.1665,1/19/16,Pteropus rufus,male,1320,NA,A,
RR034B_304_uaRa,AMB116,urine,0,Ambakoana,-18.513,48.1665,1/21/16,Pteropus rufus,male,1328,NA,A,
RR034B_305_uaRa,AMB122,urine,0,Ambakoana,-18.513,48.1665,2/23/18,Pteropus rufus,male,442,no,A,
RR034B_306_uaRa,AMB141,urine,0,Ambakoana,-18.513,48.1665,4/16/18,Pteropus rufus,male,1350,no,A,
RR034B_307_uaRa,AMB15,urine,0,Ambakoana,-18.513,48.1665,11/18/13,Pteropus rufus,male,,NA,J,
RR034B_504_uaRa,AMB159,urine,0,Ambakoana,-18.513,48.1665,1/6/19,Pteropus rufus,female,1375,no,A,
RR034B_308_uaRa,AMB160,urine,0,Ambakoana,-18.513,48.1665,1/7/19,Pteropus rufus,female,1376,no,A,
RR034B_309_uaRa,AMB162,urine,0,Ambakoana,-18.513,48.1665,2/14/19,Pteropus rufus,male,1358,no,A,
RR034B_310_uaRa,AMB165,urine,0,Ambakoana,-18.513,48.1665,3/22/19,Pteropus rufus,male,1380,no,A,
RR034B_311_uaRa,AMB170,urine,0,Ambakoana,-18.513,48.1665,3/27/19,Pteropus rufus,male,1385,no,J,
RR034B_312_uaRa,AMB171,urine,0,Ambakoana,-18.513,48.1665,3/28/19,Pteropus rufus,male,1386,no,A,
RR034B_313_uaRa,AMB172,urine,0,Ambakoana,-18.513,48.1665,3/31/19,Pteropus rufus,male,1387,no,A,
RR034B_314_uaRa,AMB173,urine,0,Ambakoana,-18.513,48.1665,3/31/19,Pteropus rufus,female,1389,no,NL,
RR034B_315_uaRa,AMB174,urine,0,Ambakoana,-18.513,48.1665,3/31/19,Pteropus rufus,male,1388,no,A,
RR034B_316_uaRa,AMB61,urine,0,Ambakoana,-18.513,48.1665,12/9/14,Pteropus rufus,male,469,NA,A,
RR034B_317_uaRa,AMB76,urine,0,Ambakoana,-18.513,48.1665,3/22/15,Pteropus rufus,male,480,NA,A,
RR034B_318_uaRa,AMB8,urine,0,Ambakoana,-18.513,48.1665,11/16/13,Pteropus rufus,female,308,NA,NL,
RR034B_319_uaRa,AMB80,urine,0,Ambakoana,-18.513,48.1665,5/11/15,Pteropus rufus,male,483,NA,A,
RR034B_323_uaRa,ANGB135,urine,0,AngavoBe,-18.944,47.9491,4/9/18,Eidolon dupreanum,female,1063,no,NL,
RR034B_324_uaRa,ANGB137,urine,0,AngavoBe,-18.944,47.9491,4/9/18,Eidolon dupreanum,female,1061,no,NL,
RR034B_325_uaRa,ANGB138,urine,0,AngavoBe,-18.944,47.9491,4/9/18,Eidolon dupreanum,female,1060,no,NL,
RR034B_326_uaRa,ANGB141,urine,0,AngavoBe,-18.944,47.9491,4/9/18,Eidolon dupreanum,female,1057,no,NL,
RR034B_327_uaRa,ANGB142,urine,0,AngavoBe,-18.944,47.9491,4/9/18,Eidolon dupreanum,male,1056,no,A,
RR034B_328_uaRa,ANGB155,urine,0,AngavoBe,-18.944,47.9491,7/27/18,Eidolon dupreanum,female,963,no,NL,
RR034B_329_uaRa,ANGB158,urine,0,AngavoBe,-18.944,47.9491,9/9/18,Eidolon dupreanum,female,1023,no,P,
RR034B_330_uaRa,ANGB161,urine,0,AngavoBe,-18.944,47.9491,9/9/18,Eidolon dupreanum,male,1020,yes,A,
RR034B_331_uaRa,KEL140,urine,0,AngavoKely,-18.9327,47.7578,1/10/16,Eidolon dupreanum,male,944,NA,A,
RR034B_332_uaRa,KEL141,urine,0,AngavoKely,-18.9327,47.7578,1/10/16,Eidolon dupreanum,female,945,NA,NL,
RR034B_333_uaRa,KEL149,urine,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,1094,no,NL,
RR034B_334_uaRa,KEL153,urine,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,1089,no,NL,
RR034B_335_uaRa,KEL154,urine,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,female,1088,no,NL,
RR034B_336_uaRa,KEL156,urine,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,male,1086_969,yes,A,
